"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Jan 01, 1979"	"1979/01/01"	"Georgia"	"13"	69.77
"Total"	"Jan 01, 1979"	"1979/01/01"			69.77
	"Jan 02, 1979"	"1979/01/02"	"Georgia"	"13"	60.20
"Total"	"Jan 02, 1979"	"1979/01/02"			60.20
	"Jan 03, 1979"	"1979/01/03"	"Georgia"	"13"	30.47
"Total"	"Jan 03, 1979"	"1979/01/03"			30.47
	"Jan 04, 1979"	"1979/01/04"	"Georgia"	"13"	39.70
"Total"	"Jan 04, 1979"	"1979/01/04"			39.70
	"Jan 05, 1979"	"1979/01/05"	"Georgia"	"13"	47.89
"Total"	"Jan 05, 1979"	"1979/01/05"			47.89
	"Jan 06, 1979"	"1979/01/06"	"Georgia"	"13"	58.05
"Total"	"Jan 06, 1979"	"1979/01/06"			58.05
	"Jan 07, 1979"	"1979/01/07"	"Georgia"	"13"	63.83
"Total"	"Jan 07, 1979"	"1979/01/07"			63.83
	"Jan 08, 1979"	"1979/01/08"	"Georgia"	"13"	56.12
"Total"	"Jan 08, 1979"	"1979/01/08"			56.12
	"Jan 09, 1979"	"1979/01/09"	"Georgia"	"13"	40.53
"Total"	"Jan 09, 1979"	"1979/01/09"			40.53
	"Jan 10, 1979"	"1979/01/10"	"Georgia"	"13"	46.70
"Total"	"Jan 10, 1979"	"1979/01/10"			46.70
	"Jan 11, 1979"	"1979/01/11"	"Georgia"	"13"	52.89
"Total"	"Jan 11, 1979"	"1979/01/11"			52.89
	"Jan 12, 1979"	"1979/01/12"	"Georgia"	"13"	47.61
"Total"	"Jan 12, 1979"	"1979/01/12"			47.61
	"Jan 13, 1979"	"1979/01/13"	"Georgia"	"13"	57.41
"Total"	"Jan 13, 1979"	"1979/01/13"			57.41
	"Jan 14, 1979"	"1979/01/14"	"Georgia"	"13"	50.10
"Total"	"Jan 14, 1979"	"1979/01/14"			50.10
	"Jan 15, 1979"	"1979/01/15"	"Georgia"	"13"	45.29
"Total"	"Jan 15, 1979"	"1979/01/15"			45.29
	"Jan 16, 1979"	"1979/01/16"	"Georgia"	"13"	54.49
"Total"	"Jan 16, 1979"	"1979/01/16"			54.49
	"Jan 17, 1979"	"1979/01/17"	"Georgia"	"13"	61.68
"Total"	"Jan 17, 1979"	"1979/01/17"			61.68
	"Jan 18, 1979"	"1979/01/18"	"Georgia"	"13"	62.59
"Total"	"Jan 18, 1979"	"1979/01/18"			62.59
	"Jan 19, 1979"	"1979/01/19"	"Georgia"	"13"	51.72
"Total"	"Jan 19, 1979"	"1979/01/19"			51.72
	"Jan 20, 1979"	"1979/01/20"	"Georgia"	"13"	63.14
"Total"	"Jan 20, 1979"	"1979/01/20"			63.14
	"Jan 21, 1979"	"1979/01/21"	"Georgia"	"13"	58.70
"Total"	"Jan 21, 1979"	"1979/01/21"			58.70
	"Jan 22, 1979"	"1979/01/22"	"Georgia"	"13"	45.84
"Total"	"Jan 22, 1979"	"1979/01/22"			45.84
	"Jan 23, 1979"	"1979/01/23"	"Georgia"	"13"	53.19
"Total"	"Jan 23, 1979"	"1979/01/23"			53.19
	"Jan 24, 1979"	"1979/01/24"	"Georgia"	"13"	50.65
"Total"	"Jan 24, 1979"	"1979/01/24"			50.65
